# uniform1 uniform2 gaussian1 gaussian2
  0.518604 0.089422 -0.988497 -1.165068
  0.327131 0.985243 0.191527 -0.613735
  0.583466 0.362974 1.099889 0.639761
  0.170104 0.534391 0.964577 -0.980013
  0.713130 0.603334 0.000053 -0.410131
  0.170767 0.257844 0.041900 -1.948211
  0.565304 0.758069 -0.263625 -0.629544
  0.489232 0.291329 -0.324985 -1.414448
  0.155843 0.891777 -0.497105 -1.950887
  0.360219 0.026975 -0.048610 -0.142868
  0.088895 0.664908 -0.544954 -1.004995
  0.639144 0.790470 -1.065563 -0.987551
  0.213744 0.168264 0.609409 0.164693
  0.688985 0.380379 0.683727 0.731794
  0.996138 0.263330 -0.453848 -0.433932
  0.600569 0.003651 0.439721 0.922202
  0.768329 0.562996 -0.252474 -0.819604
  0.952423 0.958371 1.662096 1.081241
  0.102092 0.164348 -0.395602 1.335570
  0.670952 0.758683 -0.593514 -0.566199
  0.671213 0.462913 0.609659 -1.307460
  0.206102 0.075191 -1.302524 -2.506967
  0.998068 0.872632 0.510271 0.267519
  0.336251 0.000399 0.720960 -0.123652
  0.406165 0.015403 0.242563 0.493820
  0.566541 0.219298 -0.123785 -1.159966
  0.414207 0.589381 2.190864 -0.451650
  0.593563 0.247146 0.617128 0.079730
  0.446676 0.515462 2.616735 -0.220484
  0.538477 0.736590 0.063253 1.331644
  0.723937 0.939075 -1.299050 -1.260021
  0.228668 0.400366 -0.043485 -1.188767
  0.099503 0.789839 1.053020 1.231580
  0.098452 0.789955 1.045045 1.875882
  0.466658 0.206721 1.016555 -0.182315
  0.338935 0.479483 -0.979312 1.134140
  0.669074 0.261361 0.438688 0.313971
  0.210652 0.481483 -0.291155 -1.203365
  0.871113 0.821591 -0.069671 -0.839785
  0.332945 0.189892 -1.039060 -0.234198
  0.508741 0.897087 -0.075437 0.081825
  0.255007 0.917570 -1.538232 1.342353
  0.699466 0.620218 -0.117700 0.724250
  0.361453 0.868313 -0.304936 -0.581863
  0.058754 0.557221 -0.320227 1.093894
  0.684445 0.145339 -0.900207 2.261185
  0.635838 0.365594 0.730052 -1.051911
  0.937801 0.298227 -0.253907 0.825707
  0.520706 0.509911 -2.909042 -0.910451
  0.288277 0.037131 0.171037 -0.225687
  0.430273 0.172030 -0.546444 -1.136293
  0.174416 0.031503 -1.334911 1.122629
  0.361221 0.278020 0.219417 1.087534
  0.000339 0.799825 0.494442 -0.400800
  0.462114 0.429275 0.554115 1.944197
  0.308332 0.412735 -0.951945 1.841348
  0.085383 0.946553 0.628418 -0.918376
  0.582733 0.103721 0.532624 1.206214
  0.324002 0.391955 0.960528 -0.988413
  0.758672 0.647024 1.292872 0.209455
  0.587367 0.641343 -1.702975 0.593894
  0.797710 0.614925 1.651170 1.212737
  0.356646 0.021596 -0.137665 0.260316
  0.441219 0.803154 0.409964 -0.794989
  0.393969 0.176557 -0.593425 0.362748
  0.304348 0.312166 3.421851 -0.472228
  0.759894 0.703718 -2.178022 -0.268432
  0.582885 0.900787 1.049054 0.954153
  0.598618 0.197951 0.388112 1.536933
  0.514678 0.905627 -0.502698 1.579149
  0.369764 0.524226 -0.538380 0.520226
  0.351011 0.422322 -0.991386 0.390802
  0.275866 0.526888 -1.308744 -0.079496
  0.978866 0.724515 -0.068113 -0.295247
  0.042396 0.224330 0.346701 0.529380
  0.213266 0.256705 -1.688547 -0.044324
  0.858718 0.704142 -0.878193 -0.165973
  0.291822 0.555076 1.794771 1.473391
  0.549279 0.247526 -0.605237 1.220901
  0.433081 0.394679 1.037617 1.046471
  0.481733 0.391454 -0.964118 -0.711437
  0.028541 0.863649 0.365652 0.180734
  0.029633 0.480680 -0.000153 -0.441865
  0.042616 0.624538 -1.612671 1.009868
  0.096218 0.407925 -0.061166 -1.033279
  0.393097 0.606262 0.224244 0.894348
  0.707421 0.827193 0.459178 -3.200114
  0.460832 0.292823 1.772130 -0.088685
  0.614765 0.974563 1.849874 -2.407276
  0.562943 0.734463 -0.183944 0.491412
  0.834162 0.595730 2.003610 0.580410
  0.667828 0.638370 -0.567739 0.770458
  0.060907 0.201027 -0.314042 0.626458
  0.388676 0.433291 -2.599771 -0.194589
  0.731641 0.925034 0.694342 -0.932693
  0.603102 0.980033 -0.577227 -1.083933
  0.365534 0.339397 0.208856 -0.715352
  0.157142 0.215813 0.707191 -1.237539
  0.926812 0.709538 -0.469644 -0.307161
  0.495223 0.037315 -1.984135 -0.394003
  0.114863 0.952616 0.809425 0.437989
  0.776469 0.436097 0.566546 0.842232
  0.643781 0.025148 1.078505 0.811853
  0.798450 0.243990 -0.648924 1.057026
  0.658545 0.738032 -0.850880 -0.203972
  0.041774 0.434007 0.172937 -0.314613
  0.263350 0.584979 1.045374 -0.661165
  0.220930 0.678776 -2.289969 -0.696864
